timestamp,event_type,username,source_ip,status
2026-08-19 08:01:12,LOGIN,admin,192.168.1.15,SUCCESS
2026-08-19 08:03:44,LOGIN,admin,192.168.1.20,FAILED
2026-08-19 08:03:49,LOGIN,admin,192.168.1.20,FAILED
2026-08-19 08:03:55,LOGIN,admin,192.168.1.20,FAILED
2026-08-19 08:04:02,LOGIN,admin,192.168.1.20,FAILED
2026-08-19 08:07:18,FILE_ACCESS,user01,192.168.1.25,SUCCESS
2026-08-19 08:12:31,LOGIN,user02,10.0.0.45,SUCCESS
2026-08-19 08:15:09,PRIVILEGE_CHANGE,user02,10.0.0.45,ADMIN_GRANTED
2026-08-19 08:19:27,LOGIN,unknown,203.0.113.45,FAILED
2026-08-19 08:19:31,LOGIN,unknown,203.0.113.45,FAILED
